t_s,df_hz
0.0,-1.8318679906315083e-12
0.01,-1.8318679906315083e-12
0.02,-1.8318679906315083e-12
0.03,-1.8318679906315083e-12
0.04,-1.8318679906315083e-12
0.05,-1.8318679906315083e-12
0.06,-1.8318679906315083e-12
0.07,-1.8318679906315083e-12
0.08,-1.8318679906315083e-12
0.09,-1.8318679906315083e-12
0.1,-1.8318679906315083e-12
0.11,-1.8318679906315083e-12
0.12,-1.8318679906315083e-12
0.13,-1.8318679906315083e-12
0.14,-1.8318679906315083e-12
0.15,-1.8318679906315083e-12
0.16,-1.8318679906315083e-12
0.17,-1.8318679906315083e-12
0.18,-1.8318679906315083e-12
0.19,-1.8318679906315083e-12
0.2,-1.8318679906315083e-12
0.21,-0.0065148076798017245
0.22,-0.014105096253803975
0.23,-0.017647363330512943
0.24,-0.01974700387964092
0.25,-0.020555129728251076
0.26,-0.020529791578405676
0.27,-0.01965375135856548
0.28,-0.018077622279490904
0.29,-0.01586716247999321
0.3,-0.013078771333940881
0.31,-0.022670859573181226
0.32,-0.02407534662802804
0.33,-0.02715747770757304
0.34,-0.03027871477637876
0.35,-0.03386439900670889
0.36,-0.037342319191254573
0.37,-0.04110891720422051
0.38,-0.0451954594324294
0.39,-0.04967503761956654
0.4,-0.054568809400992374
0.41,-0.059874536891853514
0.42,-0.06554861641120839
0.43,-0.07152025414858813
0.44,-0.07769583699342247
0.45,-0.0839658652925003
0.46,-0.09021059362091984
0.47,-0.09630609343286042
0.48,-0.10212916461619778
0.49,-0.10756162747785837
0.5,-0.1124940325288769
0.51,-0.11682877622898416
0.52,-0.12048267649980401
0.53,-0.12338921122851165
0.54,-0.12549993086813707
0.55,-0.12678573034579074
0.56,-0.12723726364561805
0.57,-0.1268649173954354
0.58,-0.1256980842192023
0.59,-0.12378374765364401
0.6,-0.12118448323402806
0.61,-0.11797614091483768
0.62,-0.11424469161742193
0.63,-0.11008338901653203
0.64,-0.1055896462275445
0.65,-0.10086166614654986
0.66,-0.09599613500380483
0.67,-0.09108544185622797
0.68,-0.08621573180240205
0.69,-0.08146508718648425
0.7,-0.0769026226912198
0.71,-0.07258737498552598
0.72,-0.0685681564454359
0.73,-0.06488330116929299
0.74,-0.0615610057292498
0.75,-0.05861974682070669
0.76,-0.0560689752204394
0.77,-0.053909919787393415
0.78,-0.05213649578476809
0.79,-0.05073628875037256
0.8,-0.049691567257803264
0.81,-0.0489802342428756
0.82,-0.04857685308701326
0.83,-0.048453557169394264
0.84,-0.04858083298804136
0.85,-0.04892837248136603
0.86,-0.04946570765555273
0.87,-0.05016282213411036
0.88,-0.05099058680832147
0.89,-0.05192124733752385
0.9,-0.05292866852543586
0.91,-0.05398858930684685
0.92,-0.0550787652187794
0.93,-0.05617906264486534
0.94,-0.05727146111391708
0.95,-0.05834007509370083
0.96,-0.05937105624034788
0.97,-0.060352533756886484
0.98,-0.0612745002317623
0.99,-0.06212867380144996
1.0,-0.06290838761902534
1.01,-0.06360845127335497
1.02,-0.064225022117512
1.03,-0.06475548318930915
1.04,-0.06519832603481787
1.05,-0.06555303967849127
1.06,-0.06582001160673658
1.07,-0.06600043656278705
1.08,-0.06609623490688381
1.09,-0.06610997570017337
1.1,-0.06604480324816367
1.11,-0.06590437991875603
1.12,-0.06569282133954596
1.13,-0.06541464008568885
1.14,-0.06507468908967529
1.15,-0.0646781098171913
1.16,-0.0642302787635165
1.17,-0.06373674983751443
1.18,-0.06320320885837806
1.19,-0.06263541694583473
1.2,-0.06203915816947594
1.21,-0.06142018384296688
1.22,-0.060784171309021126
1.23,-0.06013666857955086
