t_s,df_hz
0.0,-1.8318679906315083e-12
0.01,-1.8318679906315083e-12
0.02,-1.8318679906315083e-12
0.03,-1.8318679906315083e-12
0.04,-1.8318679906315083e-12
0.05,-1.8318679906315083e-12
0.06,-1.8318679906315083e-12
0.07,-1.8318679906315083e-12
0.08,-1.8318679906315083e-12
0.09,-1.8318679906315083e-12
0.1,-1.8318679906315083e-12
0.11,-1.8318679906315083e-12
0.12,-1.8318679906315083e-12
0.13,-1.8318679906315083e-12
0.14,-1.8318679906315083e-12
0.15,-1.8318679906315083e-12
0.16,-1.8318679906315083e-12
0.17,-1.8318679906315083e-12
0.18,-1.8318679906315083e-12
0.19,-1.8318679906315083e-12
0.2,-1.8318679906315083e-12
0.21,-0.0023252971915091714
0.22,-0.031316133605659255
0.23,-0.04616193183845925
0.24,-0.05243023446683572
0.25,-0.05280146688010634
0.26,-0.050677899914098726
0.27,-0.04630864214961277
0.28,-0.04063635254881293
0.29,-0.03430522361763129
0.3,-0.027811535280479784
0.31,-0.05684608580817486
0.32,-0.029886633200236247
0.33,-0.014228591458446455
0.34,-0.00686159029778882
0.35,-0.00524410389587017
0.36,-0.0061136675472804715
0.37,-0.00968795422672038
0.38,-0.01544600273622141
0.39,-0.022896883058993327
0.4,-0.03147771649475285
0.41,-0.04068616640220695
0.42,-0.05003253983314474
0.43,-0.0590842928352974
0.44,-0.06747327570115347
0.45,-0.0749070977246739
0.46,-0.08117033907631319
0.47,-0.08612548895344535
0.48,-0.0897085343248255
0.49,-0.09192211597186281
0.5,-0.09282679735338463
0.51,-0.09253109975653671
0.52,-0.09118103754941084
0.53,-0.08894912256867589
0.54,-0.08602465680589984
0.55,-0.08260347931442658
0.56,-0.07887974176626815
0.57,-0.07503830347806818
0.58,-0.07124811393901405
0.59,-0.06765718741337291
0.6,-0.06438885033226069
0.61,-0.06153948659659218
0.62,-0.05917711115218223
0.63,-0.057341829534143074
0.64,-0.05604705705720734
0.65,-0.05528193186828226
0.66,-0.055014477508565474
0.67,-0.05519538670584661
0.68,-0.055762119899006056
0.69,-0.05664333195918454
0.7,-0.05776274530678519
0.71,-0.059043365805337686
0.72,-0.060410614903403936
0.73,-0.0617955026372688
0.74,-0.0631367541963321
0.75,-0.06438258074584478
0.76,-0.06549168264458964
0.77,-0.06643365282690195
0.78,-0.06718898865416852
0.79,-0.0677484681395157
0.8,-0.06811224831218717
0.81,-0.06828867459005228
0.82,-0.06829286510549416
0.83,-0.06814519129048317
0.84,-0.067869802597008
0.85,-0.06749306892272859
0.86,-0.06704222781924332
0.87,-0.06654412000867625
0.88,-0.06602417797327938
0.89,-0.0655054834811232
0.9,-0.06500817480107855
0.91,-0.06454898044817242
0.92,-0.0641409844899057
0.93,-0.06379356307444069
0.94,-0.06351249339316677
0.95,-0.06330017517941375
0.96,-0.06315598093172466
0.97,-0.06307667003507915
0.98,-0.06305686276113003
0.99,-0.0630895163287592
1.0,-0.06316642226236158
1.01,-0.06327866830776449
1.02,-0.06341706512103999
1.03,-0.06357252852457838
1.04,-0.06373640439871166
1.05,-0.06390072247395852
1.06,-0.06405838116934351
1.07,-0.06420329230751698
1.08,-0.06433044285504508
1.09,-0.06443592214298725
1.1,-0.06451689570484821
1.11,-0.06457153545906288
1.12,-0.06459893373294341
1.13,-0.06459898905184652
1.14,-0.0645722809033955
1.15,-0.06451993911367444
1.16,-0.06444351490971305
1.17,-0.06434485543178044
1.18,-0.06422599324048307
1.19,-0.064089045246261
1.2,-0.06393612831145469
1.21,-0.06376928960839442
1.22,-0.0635904584794064
1.23,-0.06340140838935307
