t_s,pG_pu,Pm_abs_pu_sysbase,Pm_initial_pu_sysbase
0.0,0.0,6.330299828420394,6.330299828420394
0.01,0.0,6.330299828420394,6.330299828420394
0.02,0.0,6.330299828420394,6.330299828420394
0.03,0.0,6.330299828420394,6.330299828420394
0.04,0.0,6.330299828420394,6.330299828420394
0.05,0.0,6.330299828420394,6.330299828420394
0.06,0.0,6.330299828420394,6.330299828420394
0.07,0.0,6.330299828420394,6.330299828420394
0.08,0.0,6.330299828420394,6.330299828420394
0.09,0.0,6.330299828420394,6.330299828420394
0.1,0.0,6.330299828420394,6.330299828420394
0.11,0.0,6.330299828420394,6.330299828420394
0.12,0.0,6.330299828420394,6.330299828420394
0.13,0.0,6.330299828420394,6.330299828420394
0.14,0.0,6.330299828420394,6.330299828420394
0.15,0.0,6.330299828420394,6.330299828420394
0.16,0.0,6.330299828420394,6.330299828420394
0.17,0.0,6.330299828420394,6.330299828420394
0.18,0.0,6.330299828420394,6.330299828420394
0.19,0.0,6.330299828420394,6.330299828420394
0.2,0.0,6.330299828420394,6.330299828420394
0.21,0.00020619697473556187,6.330506025395129,6.330299828420394
0.22,0.0009478690488284869,6.331247697469222,6.330299828420394
0.23,0.001991988787763077,6.332291817208157,6.330299828420394
0.24,0.0031868270844324087,6.333486655504826,6.330299828420394
0.25,0.004463007138811648,6.334762835559205,6.330299828420394
0.26,0.005734589376041654,6.336034417796435,6.330299828420394
0.27,0.006951214033457553,6.337251042453851,6.330299828420394
0.28,0.008062261400382909,6.338362089820777,6.330299828420394
0.29,0.00902593718873046,6.339325765609124,6.330299828420394
0.3,0.009805265663263008,6.340105094083657,6.330299828420394
0.31,0.010964264941414115,6.341264093361808,6.330299828420394
0.32,0.012209462200215349,6.342509290620609,6.330299828420394
0.33,0.013624028568730573,6.343923856989124,6.330299828420394
0.34,0.015251248741688705,6.345551077162082,6.330299828420394
0.35,0.017063542205729476,6.347363370626123,6.330299828420394
0.36,0.019073267638180624,6.349373096058574,6.330299828420394
0.37,0.021283302267797843,6.351583130688192,6.330299828420394
0.38,0.023708954987736064,6.35400878340813,6.330299828420394
0.39,0.026368429680557526,6.356668258100951,6.330299828420394
0.4,0.029284799784198512,6.359584628204592,6.330299828420394
0.41,0.03248021369916376,6.3627800421195575,6.330299828420394
0.42,0.03597507729727489,6.366274905717669,6.330299828420394
0.43,0.03978555153038421,6.370085379950778,6.330299828420394
0.44,0.043922054749762296,6.374221883170156,6.330299828420394
0.45,0.04838802610943116,6.378687854529825,6.330299828420394
0.46,0.05317925202606588,6.38347908044646,6.330299828420394
0.47,0.058283527785651934,6.388583356206046,6.330299828420394
0.48,0.06368070925171398,6.393980537672108,6.330299828420394
0.49,0.06934306330476314,6.399642891725157,6.330299828420394
0.5,0.07523587654684594,6.40553570496724,6.330299828420394
0.51,0.08131827424639937,6.411618102666793,6.330299828420394
0.52,0.08754418634089944,6.417844014761293,6.330299828420394
0.53,0.0938635781791115,6.424163406599505,6.330299828420394
0.54,0.10022351438481358,6.430523342805207,6.330299828420394
0.55,0.10656963481377613,6.43686946323417,6.330299828420394
0.56,0.11284735374390298,6.443147182164297,6.330299828420394
0.57,0.11900316895970331,6.449302997380097,6.330299828420394
0.58,0.12498598822870033,6.455285816649094,6.330299828420394
0.59,0.13074827165871472,6.4610481000791085,6.330299828420394
0.6,0.1362470608924573,6.466546889312851,6.330299828420394
0.61,0.14144477065590344,6.471744599076297,6.330299828420394
0.62,0.14630998918850935,6.476609817608903,6.330299828420394
0.63,0.15081782271186484,6.481117651132259,6.330299828420394
0.64,0.15495017226169594,6.48525000068209,6.330299828420394
0.65,0.15869580349888057,6.488995631919274,6.330299828420394
0.66,0.16205012184711443,6.492349950267508,6.330299828420394
0.67,0.16501488539180542,6.495314713812199,6.330299828420394
0.68,0.16759772572516862,6.497897554145562,6.330299828420394
0.69,0.16981152968727642,6.50011135810767,6.330299828420394
0.7,0.17167382363757788,6.501973652057972,6.330299828420394
0.71,0.1732059777730548,6.5035058061934485,6.330299828420394
0.72,0.17443254116356588,6.50473236958396,6.330299828420394
0.73,0.17538041581889097,6.505680244239285,6.330299828420394
0.74,0.17607818765494088,6.506378016075335,6.330299828420394
0.75,0.17655539670051645,6.50685522512091,6.330299828420394
0.76,0.17684190725641535,6.507141735676809,6.330299828420394
0.77,0.17696738335695184,6.507267211777346,6.330299828420394
0.78,0.17696068624859151,6.507260514668985,6.330299828420394
0.79,0.1768495108473127,6.5071493392677064,6.330299828420394
0.8,0.176659985246034,6.506959813666428,6.330299828420394
0.81,0.17641643830421216,6.506716266724606,6.330299828420394
0.82,0.17614110997740884,6.506440938397803,6.330299828420394
0.83,0.1758540296212221,6.506153858041616,6.330299828420394
0.84,0.17557296303151304,6.505872791451907,6.330299828420394
0.85,0.17531332262985533,6.505613151050249,6.330299828420394
0.86,0.17508821289643084,6.505388041316825,6.330299828420394
0.87,0.1749084751521579,6.505208303572552,6.330299828420394
0.88,0.17478279524198115,6.505082623662375,6.330299828420394
0.89,0.1747177942383784,6.505017622658772,6.330299828420394
0.9,0.17471818799650762,6.505018016416901,6.330299828420394
0.91,0.17478693370855858,6.505086762128952,6.330299828420394
0.92,0.17492539527932394,6.505225223699718,6.330299828420394
0.93,0.17513351130865473,6.5054333397290485,6.330299828420394
0.94,0.17540996152882204,6.505709789949216,6.330299828420394
0.95,0.175752335114165,6.506052163534559,6.330299828420394
0.96,0.17615728533281771,6.5064571137532115,6.330299828420394
0.97,0.1766206855075847,6.506920513927978,6.330299828420394
0.98,0.17713777289588606,6.50743760131628,6.330299828420394
0.99,0.17770327069179714,6.508003099112191,6.330299828420394
1.0,0.1783115173543095,6.508611345774703,6.330299828420394
1.01,0.17895657247646213,6.509256400896856,6.330299828420394
1.02,0.17963231414242387,6.509932142562818,6.330299828420394
1.03,0.18033252945407963,6.510632357874473,6.330299828420394
1.04,0.18105099616735387,6.511350824587748,6.330299828420394
1.05,0.18178155060054202,6.512081379020936,6.330299828420394
1.06,0.18251814164295688,6.512817970063351,6.330299828420394
1.07,0.18325489590086264,6.513554724321256,6.330299828420394
1.08,0.1839861546463437,6.5142859830667375,6.330299828420394
1.09,0.1847065216689474,6.515006350089341,6.330299828420394
1.1,0.185410902054433,6.515710730474827,6.330299828420394
1.11,0.18609452019925055,6.516394348619644,6.330299828420394
1.12,0.18675295415175075,6.5170527825721445,6.330299828420394
1.13,0.18738215453609008,6.517681982956484,6.330299828420394
1.14,0.18797846236427773,6.5182782907846715,6.330299828420394
1.15,0.1885386204023609,6.518838448822755,6.330299828420394
1.16,0.18905978310416405,6.519359611524558,6.330299828420394
1.17,0.18953952390858753,6.519839352328981,6.330299828420394
1.18,0.18997583393528927,6.520275662355683,6.330299828420394
1.19,0.19036712250846755,6.520666950928861,6.330299828420394
1.2,0.19071221193906762,6.521012040359461,6.330299828420394
1.21,0.19101032931705486,6.521310157737449,6.330299828420394
1.22,0.19126109368723565,6.521560922107629,6.330299828420394
1.23,0.19146450260592296,6.521764331026317,6.330299828420394
1.24,0.1916209147380572,6.521920743158451,6.330299828420394
1.25,0.19173102819573273,6.5220308566161265,6.330299828420394
1.26,0.1917958601602736,6.522095688580667,6.330299828420394
1.27,0.19181671984413118,6.522116548264525,6.330299828420394
1.28,0.19179518423248965,6.522095012652883,6.330299828420394
1.29,0.19173306958579772,6.5220328980061915,6.330299828420394
1.3,0.1916323985929127,6.521932227013306,6.330299828420394
1.31,0.1914953766918952,6.521795205112289,6.330299828420394
1.32,0.19132435764533362,6.521624186065727,6.330299828420394
1.33,0.19112181339619205,6.521421641816586,6.330299828420394
1.34,0.19089030773090698,6.521190136151301,6.330299828420394
1.35,0.1906324587243029,6.520932287144697,6.330299828420394
1.36,0.19035091927735603,6.52065074769775,6.330299828420394
1.37,0.19004834561116812,6.520348174031562,6.330299828420394
1.38,0.18972737079736213,6.520027199217756,6.330299828420394
1.39,0.18939058321091373,6.5196904116313075,6.330299828420394
1.4,0.18904049908545684,6.519340327505851,6.330299828420394
1.41,0.18867954930252573,6.5189793777229195,6.330299828420394
1.42,0.18831005541773305,6.518609883838127,6.330299828420394
1.43,0.18793421717900038,6.518234045599394,6.330299828420394
1.44,0.1875540955118602,6.517853923932254,6.330299828420394
1.45,0.18717160436350966,6.517471432783903,6.330299828420394
1.46,0.18678849946937337,6.517088327889767,6.330299828420394
1.47,0.18640636849759495,6.516706196917989,6.330299828420394
1.48,0.18602663250370277,6.5163264609240965,6.330299828420394
1.49,0.18565053647428442,6.515950364894678,6.330299828420394
1.5,0.18527915088076963,6.515578979301163,6.330299828420394
1.51,0.1849133699421781,6.515213198362572,6.330299828420394
1.52,0.18455391772628804,6.514853746146682,6.330299828420394
1.53,0.18420134772109886,6.514501176141493,6.330299828420394
1.54,0.18385604847609294,6.514155876896487,6.330299828420394
1.55,0.18351825122457743,6.513818079644971,6.330299828420394
1.56,0.1831880354850961,6.51348786390549,6.330299828420394
1.57,0.18286533757352785,6.513165165993922,6.330299828420394
1.58,0.1825499589944446,6.512849787414838,6.330299828420394
1.59,0.1822415766608998,6.5125414050812935,6.330299828420394
1.6,0.18193975177117316,6.512239580191567,6.330299828420394
1.61,0.1816439408903019,6.511943769310696,6.330299828420394
