t_s,df_hz
0.0,-1.8318679906315083e-12
0.01,-1.8318679906315083e-12
0.02,-1.8318679906315083e-12
0.03,-1.8318679906315083e-12
0.04,-1.8318679906315083e-12
0.05,-1.8318679906315083e-12
0.06,-1.8318679906315083e-12
0.07,-1.8318679906315083e-12
0.08,-1.8318679906315083e-12
0.09,-1.8318679906315083e-12
0.1,-1.8318679906315083e-12
0.11,-1.8318679906315083e-12
0.12,-1.8318679906315083e-12
0.13,-1.8318679906315083e-12
0.14,-1.8318679906315083e-12
0.15,-1.8318679906315083e-12
0.16,-1.8318679906315083e-12
0.17,-1.8318679906315083e-12
0.18,-1.8318679906315083e-12
0.19,-1.8318679906315083e-12
0.2,-1.8318679906315083e-12
0.21,-0.019169327966882203
0.22,-0.026375548498710613
0.23,-0.03231237800429425
0.24,-0.03859469812888394
0.25,-0.04318196335103909
0.26,-0.04740587903924893
0.27,-0.0506843191771981
0.28,-0.053267136973470776
0.29,-0.0550716559916734
0.3,-0.056147882100192614
0.31,-0.03762211846424959
0.32,-0.03397889105864391
0.33,-0.02727583987069704
0.34,-0.022018188330683124
0.35,-0.0168609396770971
0.36,-0.01241972871689989
0.37,-0.008710557596428477
0.38,-0.005868043788513626
0.39,-0.003993739780574008
0.4,-0.0031524260616754294
0.41,-0.0033740798209392926
0.42,-0.004661395163076153
0.43,-0.006985553311206196
0.44,-0.010292135467838383
0.45,-0.014503099395894984
0.46,-0.019520625218965474
0.47,-0.025231209669414608
0.48,-0.03150931551034543
0.49,-0.03822149422590539
0.5,-0.045229969530474805
0.51,-0.05239631440756047
0.52,-0.0595846315670304
0.53,-0.06666485349159731
0.54,-0.07351495562568582
0.55,-0.08002364951712036
0.56,-0.0860919191104561
0.57,-0.09163444048179817
0.58,-0.09658062384874899
0.59,-0.10087504199264152
0.6,-0.10447747129579889
0.61,-0.10736253751360464
0.62,-0.1095191340524124
0.63,-0.11094942235432696
0.64,-0.11166775130093838
0.65,-0.11169928332072943
0.66,-0.11107873247771656
0.67,-0.1098488907664984
0.68,-0.10805926895917597
0.69,-0.10576460381596346
0.7,-0.10302377073461316
0.71,-0.09989829771728435
0.72,-0.09645147666423208
0.73,-0.09274710629898811
0.74,-0.08884869503081455
0.75,-0.08481852001901855
0.76,-0.08071690071419439
0.77,-0.07660164061785026
0.78,-0.07252727717861807
0.79,-0.06854474425155616
0.8,-0.06470090138480397
0.81,-0.06103831367512944
0.82,-0.057594879095685746
0.83,-0.05440370794502049
0.84,-0.05149307021348002
0.85,-0.04888625458773221
0.86,-0.04660162642760685
0.87,-0.04465267082586856
0.88,-0.04304811658758092
0.89,-0.04179205699394248
0.9,-0.0408841610708826
0.91,-0.04031989265537626
0.92,-0.04009076777902925
0.93,-0.040184645416305884
0.94,-0.040586014870049765
0.95,-0.041276360870657135
0.96,-0.042234469041456314
0.97,-0.04343681861466967
0.98,-0.044857956830632255
0.99,-0.04647082455907198
1.0,-0.04824717881075207
1.01,-0.050157947169912315
1.02,-0.05217358977287204
1.03,-0.054264468814537024
1.04,-0.056401209122370156
1.05,-0.058555020552516455
1.06,-0.060697976615444085
1.07,-0.06280335800374977
1.08,-0.06484587411372056
1.09,-0.0668019365191142
1.1,-0.06864988607205864
1.11,-0.07037012503202031
1.12,-0.07194530909371583
1.13,-0.07336046002973874
1.14,-0.07460305862940807
1.15,-0.07566309717236447
1.16,-0.07653310940201791
1.17,-0.07720816931365578
1.18,-0.07768584951568148
1.19,-0.0779661644439377
1.2,-0.07805147964140928
1.21,-0.07794639153311325
1.22,-0.07765759744301662
1.23,-0.07719373497347949
