t_s,df_hz
0.0,-1.8318679906315083e-12
0.01,-1.8318679906315083e-12
0.02,-1.8318679906315083e-12
0.03,-1.8318679906315083e-12
0.04,-1.8318679906315083e-12
0.05,-1.8318679906315083e-12
0.06,-1.8318679906315083e-12
0.07,-1.8318679906315083e-12
0.08,-1.8318679906315083e-12
0.09,-1.8318679906315083e-12
0.1,-1.8318679906315083e-12
0.11,-1.8358647935201593e-12
0.12,-1.8318679906315083e-12
0.13,-1.8318679906315083e-12
0.14,-1.834532525890608e-12
0.15,-1.8318679906315083e-12
0.16,-1.8318679906315083e-12
0.17,-1.8318679906315083e-12
0.18,-1.8318679906315083e-12
0.19,-1.8318679906315083e-12
0.2,-1.8318679906315083e-12
0.21,0.10010423519765341
0.22,0.19436790296334677
0.23,0.2887426644051853
0.24,0.37015695688226197
0.25,0.4368341139876103
0.26,0.48561231286583423
0.27,0.5190547342208659
0.28,0.5390317172585626
0.29,0.5482099237873475
0.3,0.5492179947677167
0.31,0.29010796200767597
0.32,0.03119434487362515
0.33,-0.1839668327833318
0.34,-0.3502394512491422
0.35,-0.4806348798677293
0.36,-0.5784923155598076
0.37,-0.6482999564317417
0.38,-0.6922636214700504
0.39,-0.7123923899323359
0.4,-0.7105524663257418
0.41,-0.6890516306394942
0.42,-0.6505102017402309
0.43,-0.5978821189044585
0.44,-0.5343710309400691
0.45,-0.4633098615681662
0.46,-0.38803893616609264
0.47,-0.3117580500581314
0.48,-0.23739888341843715
0.49,-0.1675140355082464
0.5,-0.1041925522626088
0.51,-0.04900631060386102
0.52,-0.0029900963404488647
0.53,0.033347766576094805
0.54,0.059983062674962756
0.55,0.07731252287205963
0.56,0.08607348978942948
0.57,0.08725764585225426
0.58,0.08202152242024384
0.59,0.07160492236807998
0.6,0.057259514402609984
0.61,0.04019322289374525
0.62,0.021521801960696675
0.63,0.0022416103487397036
0.64,-0.01679028335913246
0.65,-0.034867971329003655
0.66,-0.051434579107935544
0.67,-0.0660802566126156
0.68,-0.07853254477640088
0.69,-0.08864460983629079
0.7,-0.0963802759849718
0.71,-0.10179871342866402
0.72,-0.10503798044086723
0.73,-0.10629813377824972
0.74,-0.1058252101384261
0.75,-0.10389535352763687
0.76,-0.10080035542107732
0.77,-0.0968350667506237
0.78,-0.09228498902539958
0.79,-0.08741742224742606
0.8,-0.08247339118355812
0.81,-0.07766252317972007
0.82,-0.07315872804983539
0.83,-0.06909871175398434
0.84,-0.06558208237988308
0.85,-0.06267235944706241
0.86,-0.06039980220840507
0.87,-0.05876493970325101
0.88,-0.057742770564207076
0.89,-0.057287459734280344
0.9,-0.05733709907311621
0.91,-0.057818469247282386
0.92,-0.05865150929482435
0.93,-0.05975344211812754
0.94,-0.06104225486149793
0.95,-0.06243991589456607
0.96,-0.06387462718452776
0.97,-0.06528278352898342
0.98,-0.06661020522555534
0.99,-0.06781274183745463
1.0,-0.06885660309205022
1.01,-0.06971811213841192
1.02,-0.07038316207291842
1.03,-0.07084639555485343
1.04,-0.07111015818690525
1.05,-0.07118331469737009
1.06,-0.07108002588146968
1.07,-0.0708184646883124
1.08,-0.07041961645207978
1.09,-0.06990610271052337
1.1,-0.0693011184301
1.11,-0.06862757145608661
1.12,-0.06790727996722103
1.13,-0.06716036721424595
1.14,-0.06640480526287137
1.15,-0.06565611395521176
1.16,-0.06492719503139048
1.17,-0.0642282821837072
1.18,-0.0635670196141672
1.19,-0.06294861038053995
1.2,-0.06237604329805241
1.21,-0.061850362410389395
1.22,-0.06137098403938344
1.23,-0.060936008108587465
1.24,-0.0605425365447586
1.25,-0.06018697923494827
