t_s,delta_p_pu,p_abs_pu,p_initial_pu,delta_q_pu,delta_q_injection_pu,q_abs_pu,q_injection_abs_pu,q_initial_pu,delta_q_absorbed_pu,q_absorbed_abs_pu,asset_type,device_name,p_source,q_source
0.0,0.0,6.300000000018598,6.300000000018598,0.0,0.0,2.0289794585811545,2.0289794585811545,2.0289794585811545,-0.0,-2.0289794585811545,SG,gen-6,get_activepower_series,get_reactivepower_series
0.01,-4.973799150320698e-15,6.300000000018593,6.300000000018598,6.572520305780916e-15,6.572520305780916e-15,2.028979458581161,2.028979458581161,2.0289794585811545,-6.572520305780916e-15,-2.028979458581161,SG,gen-6,get_activepower_series,get_reactivepower_series
0.02,1.4210854715200801e-15,6.300000000018599,6.300000000018598,6.448937900181772e-29,6.448937900181772e-29,2.0289794585811545,2.0289794585811545,2.0289794585811545,-6.448937900181772e-29,-2.0289794585811545,SG,gen-6,get_activepower_series,get_reactivepower_series
0.03,-3.552713678800501e-15,6.300000000018594,6.300000000018598,2.9309887850104218e-15,2.9309887850104218e-15,2.0289794585811576,2.0289794585811576,2.0289794585811545,-2.9309887850104218e-15,-2.0289794585811576,SG,gen-6,get_activepower_series,get_reactivepower_series
0.04,-8.17124146124109e-15,6.30000000001859,6.300000000018598,3.819167204710287e-15,3.819167204710287e-15,2.0289794585811585,2.0289794585811585,2.0289794585811545,-3.819167204710287e-15,-2.0289794585811585,SG,gen-6,get_activepower_series,get_reactivepower_series
0.05,1.5987211554607136e-15,6.3000000000186,6.300000000018598,-8.881784197092019e-17,-8.881784197092019e-17,2.0289794585811545,2.0289794585811545,2.0289794585811545,8.881784197092019e-17,-2.0289794585811545,SG,gen-6,get_activepower_series,get_reactivepower_series
0.06,5.329070518197206e-16,6.300000000018599,6.300000000018598,-3.1974423109204904e-15,-3.1974423109204904e-15,2.0289794585811514,2.0289794585811514,2.0289794585811545,3.1974423109204904e-15,-2.0289794585811514,SG,gen-6,get_activepower_series,get_reactivepower_series
0.07,-3.9079850466801175e-15,6.300000000018594,6.300000000018598,7.105427357600213e-16,7.105427357600213e-16,2.028979458581155,2.028979458581155,2.0289794585811545,-7.105427357600213e-16,-2.028979458581155,SG,gen-6,get_activepower_series,get_reactivepower_series
0.08,3.55271367880076e-15,6.300000000018602,6.300000000018598,-1.4210854715205109e-15,-1.4210854715205109e-15,2.028979458581153,2.028979458581153,2.0289794585811545,1.4210854715205109e-15,-2.028979458581153,SG,gen-6,get_activepower_series,get_reactivepower_series
0.09,1.7763568393823055e-16,6.300000000018598,6.300000000018598,1.6875389974317757e-15,1.6875389974317757e-15,2.0289794585811562,2.0289794585811562,2.0289794585811545,-1.6875389974317757e-15,-2.0289794585811562,SG,gen-6,get_activepower_series,get_reactivepower_series
0.1,-2.131628207280557e-15,6.300000000018596,6.300000000018598,1.865174681370487e-15,1.865174681370487e-15,2.0289794585811562,2.0289794585811562,2.0289794585811545,-1.865174681370487e-15,-2.0289794585811562,SG,gen-6,get_activepower_series,get_reactivepower_series
0.11,-7.105427357601002e-15,6.300000000018591,6.300000000018598,7.016609515632059e-15,7.016609515632059e-15,2.0289794585811616,2.0289794585811616,2.0289794585811545,-7.016609515632059e-15,-2.0289794585811616,SG,gen-6,get_activepower_series,get_reactivepower_series
