t_s,delta_p_pu,delta_q_pu,delta_p_network_pu,delta_q_network_pu,delta_p_with_load_pu,delta_q_with_load_pu,p_network_abs_pu,q_network_abs_pu,p_network_ref_pu,q_network_ref_pu,delta_p_load_pu,delta_q_load_pu,angle_source,angle_is_exact_bus_voltage,asset_type,source
0.0,-0.0050793261892092545,-0.0136250243437821,-0.0050793261892092545,-0.0136250243437821,-0.0050793261892092545,-0.0136250243437821,-2.2532075673938814,-0.4280779911277013,-2.248128241204672,-0.4144529667839192,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.01,-0.00507932618922613,-0.013625024343774828,-0.00507932618922613,-0.013625024343774828,-0.00507932618922613,-0.013625024343774828,-2.2532075673938983,-0.428077991127694,-2.248128241204672,-0.4144529667839192,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.02,-0.0050793261892141395,-0.013625024343789371,-0.0050793261892141395,-0.013625024343789371,-0.0050793261892141395,-0.013625024343789371,-2.2532075673938863,-0.42807799112770856,-2.248128241204672,-0.4144529667839192,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.03,-0.005079326189215916,-0.013625024343781933,-0.005079326189215916,-0.013625024343781933,-0.005079326189215916,-0.013625024343781933,-2.253207567393888,-0.4280779911277011,-2.248128241204672,-0.4144529667839192,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.04,-0.005079326189217248,-0.013625024343774661,-0.005079326189217248,-0.013625024343774661,-0.005079326189217248,-0.013625024343774661,-2.2532075673938894,-0.42807799112769385,-2.248128241204672,-0.4144529667839192,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.05,-0.005079326189199929,-0.013625024343766556,-0.005079326189199929,-0.013625024343766556,-0.005079326189199929,-0.013625024343766556,-2.253207567393872,-0.42807799112768574,-2.248128241204672,-0.4144529667839192,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.06,-0.005079326189209699,-0.013625024343774161,-0.005079326189209699,-0.013625024343774161,-0.005079326189209699,-0.013625024343774161,-2.253207567393882,-0.42807799112769335,-2.248128241204672,-0.4144529667839192,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.07,-0.005079326189231459,-0.013625024343775494,-0.005079326189231459,-0.013625024343775494,-0.005079326189231459,-0.013625024343775494,-2.2532075673939036,-0.4280779911276947,-2.248128241204672,-0.4144529667839192,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.08,-0.005079326189203037,-0.013625024343773995,-0.005079326189203037,-0.013625024343773995,-0.005079326189203037,-0.013625024343773995,-2.253207567393875,-0.4280779911276932,-2.248128241204672,-0.4144529667839192,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.09,-0.0050793261892145836,-0.013625024343789649,-0.0050793261892145836,-0.013625024343789649,-0.0050793261892145836,-0.013625024343789649,-2.2532075673938867,-0.42807799112770883,-2.248128241204672,-0.4144529667839192,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.1,-0.005079326189203037,-0.013625024343758896,-0.005079326189203037,-0.013625024343758896,-0.005079326189203037,-0.013625024343758896,-2.253207567393875,-0.4280779911276781,-2.248128241204672,-0.4144529667839192,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.11,-0.005079326189216804,-0.013625024343767334,-0.005079326189216804,-0.013625024343767334,-0.005079326189216804,-0.013625024343767334,-2.253207567393889,-0.4280779911276865,-2.248128241204672,-0.4144529667839192,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.12,-0.005079326189217692,-0.013625024343774772,-0.005079326189217692,-0.013625024343774772,-0.005079326189217692,-0.013625024343774772,-2.25320756739389,-0.42807799112769396,-2.248128241204672,-0.4144529667839192,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
