t_s,delta_p_pu,delta_q_pu,delta_p_network_pu,delta_q_network_pu,delta_p_with_load_pu,delta_q_with_load_pu,p_network_abs_pu,q_network_abs_pu,p_network_ref_pu,q_network_ref_pu,delta_p_load_pu,delta_q_load_pu,angle_source,angle_is_exact_bus_voltage,asset_type,source
0.0,-0.00037437205192514256,-8.857959866070964e-5,-0.00037437205192514256,-8.857959866070964e-5,-0.00037437205192514256,-8.857959866070964e-5,-6.280374372051922,-1.0300885795986636,-6.279999999999997,-1.030000000000003,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.01,-0.0003743720519278071,-8.857959868668885e-5,-0.0003743720519278071,-8.857959868668885e-5,-0.0003743720519278071,-8.857959868668885e-5,-6.2803743720519245,-1.0300885795986896,-6.279999999999997,-1.030000000000003,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.02,-0.0003743720519233662,-8.857959868735499e-5,-0.0003743720519233662,-8.857959868735499e-5,-0.0003743720519233662,-8.857959868735499e-5,-6.28037437205192,-1.0300885795986903,-6.279999999999997,-1.030000000000003,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.03,-0.00037437205192514256,-8.857959871422239e-5,-0.00037437205192514256,-8.857959871422239e-5,-0.00037437205192514256,-8.857959871422239e-5,-6.280374372051922,-1.0300885795987171,-6.279999999999997,-1.030000000000003,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.04,-0.00037437205192603074,-8.85795986744764e-5,-0.00037437205192603074,-8.85795986744764e-5,-0.00037437205192603074,-8.85795986744764e-5,-6.280374372051923,-1.0300885795986774,-6.279999999999997,-1.030000000000003,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.05,-0.0003743720519153726,-8.857959874242205e-5,-0.0003743720519153726,-8.857959874242205e-5,-0.0003743720519153726,-8.857959874242205e-5,-6.280374372051912,-1.0300885795987453,-6.279999999999997,-1.030000000000003,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.06,-0.0003743720519242544,-8.857959864694287e-5,-0.0003743720519242544,-8.857959864694287e-5,-0.0003743720519242544,-8.857959864694287e-5,-6.280374372051921,-1.0300885795986499,-6.279999999999997,-1.030000000000003,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.07,-0.0003743720519313598,-8.857959870467447e-5,-0.0003743720519313598,-8.857959870467447e-5,-0.0003743720519313598,-8.857959870467447e-5,-6.280374372051928,-1.0300885795987076,-6.279999999999997,-1.030000000000003,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.08,-0.0003743720519278071,-8.857959868713294e-5,-0.0003743720519278071,-8.857959868713294e-5,-0.0003743720519278071,-8.857959868713294e-5,-6.2803743720519245,-1.03008857959869,-6.279999999999997,-1.030000000000003,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.09,-0.00037437205191803713,-8.857959866581666e-5,-0.00037437205191803713,-8.857959866581666e-5,-0.00037437205191803713,-8.857959866581666e-5,-6.280374372051915,-1.0300885795986687,-6.279999999999997,-1.030000000000003,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.1,-0.000374372051922478,-8.857959870400833e-5,-0.000374372051922478,-8.857959870400833e-5,-0.000374372051922478,-8.857959870400833e-5,-6.280374372051919,-1.030088579598707,-6.279999999999997,-1.030000000000003,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
