t_s,df_hz,frequency_source,frequency_is_derived_from_bus_voltage_angle,angle_is_exact_bus_voltage
0.0,-6.8470274392617374e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.01,-2.0982826023544033e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.02,-6.626155586382328e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.03,1.1043592643970545e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.04,1.0270541158892604e-14,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.05,1.5461029701558764e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.06,-5.190488542666155e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.07,-3.5339496460705736e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.08,-3.092205940311754e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.09,4.196565204708806e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.1,6.626155586382325e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.11,-9.939233379573496e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.12,8.614002262297022e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.13,-3.644385572510277e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.14,-9.276617820935262e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.15,4.4174370575882205e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.16,1.325231117276464e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.17,8.834874115176441e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.18,8.172258556538207e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
