t_s,df_hz
0.0,-1.8318679906315083e-12
0.01,-1.8318679906315083e-12
0.02,-1.8318679906315083e-12
0.03,-1.8318679906315083e-12
0.04,-1.8318679906315083e-12
0.05,-1.8318679906315083e-12
0.06,-1.8318679906315083e-12
0.07,-1.8318679906315083e-12
0.08,-1.8318679906315083e-12
0.09,-1.8318679906315083e-12
0.1,-1.8318679906315083e-12
0.11,-1.8318679906315083e-12
0.12,-1.8318679906315083e-12
0.13,-1.8318679906315083e-12
0.14,-1.8318679906315083e-12
0.15,-1.8318679906315083e-12
0.16,-1.8318679906315083e-12
0.17,-1.8318679906315083e-12
0.18,-1.8318679906315083e-12
0.19,-1.8318679906315083e-12
0.2,-1.8318679906315083e-12
0.21,-0.03759261773999466
0.22,-0.06151957894583267
0.23,-0.08217264383196687
0.24,-0.10338117305719174
0.25,-0.12165806219695255
0.26,-0.13927742387785977
0.27,-0.15520885825177194
0.28,-0.16996520733007486
0.29,-0.18338450839633155
0.3,-0.1955682413356707
0.31,-0.16436562963794776
0.32,-0.15567911468215273
0.33,-0.14150582895078975
0.34,-0.12919760286800938
0.35,-0.11598835265421403
0.36,-0.10320275477984152
0.37,-0.09055586028325094
0.38,-0.07830516431209462
0.39,-0.066571031022646
0.4,-0.05546894011462424
0.41,-0.04510842110323772
0.42,-0.03557027853433668
0.43,-0.02692796445993257
0.44,-0.019232248314911164
0.45,-0.012520800266876336
0.46,-0.006814504727451792
0.47,-0.002120512265689622
0.48,0.0015676487486267596
0.49,0.004268437118815668
0.5,0.0060112008034210055
0.51,0.006834767047395456
0.52,0.006786105183331841
0.53,0.005918795305480717
0.54,0.004291801632392988
0.55,0.001967897759189988
0.56,-0.0009874999580308994
0.57,-0.004507511661072405
0.58,-0.008524940027372644
0.59,-0.012973139363412154
0.6,-0.01778674677224574
0.61,-0.022902110926027296
0.62,-0.028257913253275504
0.63,-0.033795224036076744
0.64,-0.03945766601781907
0.65,-0.045191650386979115
0.66,-0.05094611095206375
0.67,-0.05667264842341521
0.68,-0.06232542393451819
0.69,-0.06786122950834275
0.7,-0.07323930530302643
0.71,-0.07842154127142496
0.72,-0.08337235522730464
0.73,-0.08805888875700985
0.74,-0.09245101376611477
0.75,-0.09652148894092949
0.76,-0.10024606390390736
0.77,-0.10360356722678947
0.78,-0.10657609373217813
0.79,-0.10914906154328172
0.8,-0.11131132685094507
0.81,-0.11305523582941808
0.82,-0.11437669571127536
0.83,-0.11527516928097527
0.84,-0.11575366412098202
0.85,-0.11581867573835891
0.86,-0.11548009881703333
0.87,-0.11475109244569462
0.88,-0.11364795061961776
0.89,-0.11218985931766956
0.9,-0.11039870556730938
0.91,-0.10829880440876882
0.92,-0.10591662638435649
0.93,-0.10328048310073419
0.94,-0.1004202521576979
0.95,-0.09736697936572168
0.96,-0.09415261481585106
0.97,-0.0908096192166587
0.98,-0.08737062792778212
0.99,-0.08386818083181698
1.0,-0.08033434428935175
1.01,-0.07680043191205403
1.02,-0.07329672412402281
1.03,-0.06985219146876186
1.04,-0.0664942413472099
1.05,-0.06324851199447704
1.06,-0.06013871106145698
1.07,-0.057186408252177065
1.08,-0.0544109398947436
1.09,-0.051829277595178656
1.1,-0.04945594617880109
1.11,-0.04730301057307886
1.12,-0.04538002797286743
1.13,-0.043694060037198654
1.14,-0.04224970251219453
1.15,-0.04104914123544824
1.16,-0.04009222533061678
1.17,-0.03937656493814571
1.18,-0.03889764241921393
1.19,-0.03864894093943588
1.2,-0.03862208783266492
1.21,-0.038807017971638165
1.22,-0.039192121648459484
1.23,-0.03976442494949367
1.24,-0.04050975880408618
