t_s,delta_p_pu,delta_q_pu,delta_p_network_pu,delta_q_network_pu,delta_p_with_load_pu,delta_q_with_load_pu,p_network_abs_pu,q_network_abs_pu,p_network_ref_pu,q_network_ref_pu,delta_p_load_pu,delta_q_load_pu,angle_source,angle_is_exact_bus_voltage,asset_type,source
0.0,-9.408809167132937e-5,-0.001172187595122054,-9.408809167132937e-5,-0.001172187595122054,-9.408809167132937e-5,-0.001172187595122054,0.8913052644219185,-1.5618624711390996,0.8913993525135898,-1.5606902835439775,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,SG,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.01,-9.408809166033816e-5,-0.001172187595122054,-9.408809166033816e-5,-0.001172187595122054,-9.408809166033816e-5,-0.001172187595122054,0.8913052644219295,-1.5618624711390996,0.8913993525135898,-1.5606902835439775,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,SG,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.02,-9.408809166511212e-5,-0.0011721875951509197,-9.408809166511212e-5,-0.0011721875951509197,-9.408809166511212e-5,-0.0011721875951509197,0.8913052644219247,-1.5618624711391285,0.8913993525135898,-1.5606902835439775,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,SG,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.03,-9.408809166644438e-5,-0.0011721875951509197,-9.408809166644438e-5,-0.0011721875951509197,-9.408809166644438e-5,-0.0011721875951509197,0.8913052644219234,-1.5618624711391285,0.8913993525135898,-1.5606902835439775,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,SG,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.04,-9.408809166766563e-5,-0.001172187595122054,-9.408809166766563e-5,-0.001172187595122054,-9.408809166766563e-5,-0.001172187595122054,0.8913052644219221,-1.5618624711390996,0.8913993525135898,-1.5606902835439775,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,SG,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.05,-9.408809167332777e-5,-0.0011721875951509197,-9.408809167332777e-5,-0.0011721875951509197,-9.408809167332777e-5,-0.0011721875951509197,0.8913052644219165,-1.5618624711391285,0.8913993525135898,-1.5606902835439775,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,SG,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.06,-9.408809166577825e-5,-0.001172187595122054,-9.408809166577825e-5,-0.001172187595122054,-9.408809166577825e-5,-0.001172187595122054,0.891305264421924,-1.5618624711390996,0.8913993525135898,-1.5606902835439775,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,SG,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.07,-9.408809167543719e-5,-0.001172187595122054,-9.408809167543719e-5,-0.001172187595122054,-9.408809167543719e-5,-0.001172187595122054,0.8913052644219144,-1.5618624711390996,0.8913993525135898,-1.5606902835439775,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,SG,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.08,-9.408809166577825e-5,-0.001172187595122054,-9.408809166577825e-5,-0.001172187595122054,-9.408809166577825e-5,-0.001172187595122054,0.891305264421924,-1.5618624711390996,0.8913993525135898,-1.5606902835439775,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,SG,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.09,-9.408809166833176e-5,-0.0011721875951509197,-9.408809166833176e-5,-0.0011721875951509197,-9.408809166833176e-5,-0.0011721875951509197,0.8913052644219215,-1.5618624711391285,0.8913993525135898,-1.5606902835439775,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,SG,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.1,-9.40880916709963e-5,-0.0011721875951509197,-9.40880916709963e-5,-0.0011721875951509197,-9.40880916709963e-5,-0.0011721875951509197,0.8913052644219188,-1.5618624711391285,0.8913993525135898,-1.5606902835439775,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,SG,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.11,-9.408809166722154e-5,-0.001172187595122054,-9.408809166722154e-5,-0.001172187595122054,-9.408809166722154e-5,-0.001172187595122054,0.8913052644219226,-1.5618624711390996,0.8913993525135898,-1.5606902835439775,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,SG,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.12,-9.408809166921994e-5,-0.0011721875951509197,-9.408809166921994e-5,-0.0011721875951509197,-9.408809166921994e-5,-0.0011721875951509197,0.8913052644219206,-1.5618624711391285,0.8913993525135898,-1.5606902835439775,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,SG,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
