t_s,df_hz,frequency_source,frequency_is_derived_from_bus_voltage_angle,angle_is_exact_bus_voltage
0.0,-4.113738259879028e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.01,-1.856704013267548e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.02,7.316380126630487e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.03,1.6565388965955817e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.04,2.553830798918188e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.05,-4.624504419662666e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.06,5.521796321985271e-17,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.07,-1.242404172446686e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.08,-2.16730505637922e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.09,2.636657743747967e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.1,-5.521796321985271e-17,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.11,-4.831571781737115e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.12,1.974042185109734e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.13,-1.0905547735920902e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.14,-9.801188471523863e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.15,1.021532319567276e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.16,1.1043592643970535e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.17,-3.7272125173400604e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.18,1.6703433874005456e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.19,-9.525098655424586e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.2,-2.621162323719118,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.21,-2.7177973251714227,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.22,-0.05778644984022998,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.23,0.004422773182126221,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.24,0.014496729499870046,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.25,0.038906981091387446,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.26,0.0005998229913112605,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.27,0.018246519995212616,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.28,0.01597615989086639,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.29,0.017063013902040833,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.3,2.8891454710780655,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.31,2.7291588813751804,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.32,-0.23587252270329673,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.33,-0.058705840523980916,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.34,-0.009410112284019903,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.35,-0.055862300195410476,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.36,-0.048614093382015215,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.37,-0.05872087308299637,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.38,-0.0666304914527752,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.39,-0.07381249327795066,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.4,-0.0778903182905866,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.41,-0.08137730737479047,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.42,-0.08350235222066264,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.43,-0.08458638792157064,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.44,-0.08465106979184348,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.45,-0.0838830778658267,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.46,-0.08236116944674761,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.47,-0.08020912430425307,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.48,-0.07753351285042728,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.49,-0.0744453197528752,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.5,-0.0710514508203733,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.51,-0.06745848524372357,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.52,-0.06377012306051316,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.53,-0.06008606665747308,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.54,-0.05649877649601243,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.55,-0.05309046655130898,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.56,-0.049930182061532574,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.57,-0.04707079262777355,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.58,-0.044546367963438256,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.59,-0.04237244416417644,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.6,-0.04054711759335253,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.61,-0.03905211287781231,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.62,-0.03785666767438616,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.63,-0.03692155898279481,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.64,-0.0362020579261992,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.65,-0.035651560055280106,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.66,-0.035224609137327466,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.67,-0.034878584999783836,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.68,-0.034575426764533825,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.69,-0.034282487893008806,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.7,-0.03397298010699989,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.71,-0.033625957375712404,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.72,-0.033225996383283114,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.73,-0.032762835213308646,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.74,-0.03223090459191382,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.75,-0.031628704144586205,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.76,-0.030958015097615803,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.77,-0.03022341359721755,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.78,-0.0294316977808284,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.79,-0.02859119412735045,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
