t_s,delta_p_pu,delta_q_pu,delta_p_network_pu,delta_q_network_pu,delta_p_with_load_pu,delta_q_with_load_pu,p_network_abs_pu,q_network_abs_pu,p_network_ref_pu,q_network_ref_pu,delta_p_load_pu,delta_q_load_pu,angle_source,angle_is_exact_bus_voltage,asset_type,source
0.0,1.3322216345645899e-5,-1.1365305570554263e-6,1.3322216345645899e-5,-1.1365305570554263e-6,1.3322216345645899e-5,-1.1365305570554263e-6,-2.761010127777882,0.2111742276340185,-2.7610234499942274,0.21117536416457555,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.01,1.332221634520181e-5,-1.1365305792043756e-6,1.332221634520181e-5,-1.1365305792043756e-6,1.332221634520181e-5,-1.1365305792043756e-6,-2.7610101277778822,0.21117422763399635,-2.7610234499942274,0.21117536416457555,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.02,1.3322216347866345e-5,-1.1365305486732424e-6,1.3322216347866345e-5,-1.1365305486732424e-6,1.3322216347866345e-5,-1.1365305486732424e-6,-2.7610101277778796,0.21117422763402688,-2.7610234499942274,0.21117536416457555,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.03,1.3322216342981363e-5,-1.136530564327387e-6,1.3322216342981363e-5,-1.136530564327387e-6,1.3322216342981363e-5,-1.136530564327387e-6,-2.7610101277778845,0.21117422763401122,-2.7610234499942274,0.21117536416457555,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.04,1.3322216343869542e-5,-1.136530594747498e-6,1.3322216343869542e-5,-1.136530594747498e-6,1.3322216343869542e-5,-1.136530594747498e-6,-2.7610101277778836,0.2111742276339808,-2.7610234499942274,0.21117536416457555,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.05,1.332221633942865e-5,-1.136530565382099e-6,1.332221633942865e-5,-1.136530565382099e-6,1.332221633942865e-5,-1.136530565382099e-6,-2.761010127777888,0.21117422763401017,-2.7610234499942274,0.21117536416457555,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.06,1.3322216346089988e-5,-1.1365305638832979e-6,1.3322216346089988e-5,-1.1365305638832979e-6,1.3322216346089988e-5,-1.1365305638832979e-6,-2.7610101277778814,0.21117422763401167,-2.7610234499942274,0.21117536416457555,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.07,1.332221634520181e-5,-1.1365305794264202e-6,1.332221634520181e-5,-1.1365305794264202e-6,1.332221634520181e-5,-1.1365305794264202e-6,-2.7610101277778822,0.21117422763399613,-2.7610234499942274,0.21117536416457555,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.08,1.3322216342537274e-5,-1.1365305646049428e-6,1.3322216342537274e-5,-1.1365305646049428e-6,1.3322216342537274e-5,-1.1365305646049428e-6,-2.761010127777885,0.21117422763401095,-2.7610234499942274,0.21117536416457555,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.09,1.3322216349198612e-5,-1.1365305336297205e-6,1.3322216349198612e-5,-1.1365305336297205e-6,1.3322216349198612e-5,-1.1365305336297205e-6,-2.7610101277778782,0.21117422763404192,-2.7610234499942274,0.21117536416457555,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
