t_s,df_hz,frequency_source,frequency_is_derived_from_bus_voltage_angle,angle_is_exact_bus_voltage
0.0,-4.969616689786745e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.01,-1.987846675914698e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.02,7.730514850779382e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.03,8.834874115176435e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.04,1.6565388965955813e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.05,-3.865257425389691e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.06,8.834874115176434e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.07,-1.1043592643970543e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.08,-1.7669748230352882e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.09,1.2147951908367596e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.1,-3.3130777931911626e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.11,-2.760898160992637e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.12,1.1043592643970543e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.13,-3.8652574253896876e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.14,-7.178335218580858e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.15,-1.1043592643970551e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.16,1.1043592643970535e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.17,1.2147951908367604e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.18,-2.760898160992637e-16,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.19,-2.5952442713330755e-15,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.2,-0.8980838846223209,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.21,-0.9892793646051156,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.22,-0.05429834293735207,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.23,0.006911272792999365,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.24,0.006458185648453783,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.25,0.03454089172126615,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.26,0.006551521947140122,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.27,0.016266458634351142,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.28,0.01634325400947025,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.29,0.017641398456824477,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.3,1.1554372330813112,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.31,1.0821594072256528,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.32,-0.11444129722835836,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.33,-0.022801263798383733,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.34,0.0003794252583207988,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.35,-0.044549154227296786,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.36,-0.04007575595331798,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.37,-0.04677723092542855,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.38,-0.05252174308206919,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.39,-0.05835002013935633,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.4,-0.06191245133691835,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.41,-0.06512440788018793,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.42,-0.06735765965448316,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.43,-0.06883663529291463,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.44,-0.06956336983523782,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.45,-0.06966793216778559,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.46,-0.06919656255140268,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.47,-0.06823093864417226,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.48,-0.06684044463767566,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.49,-0.06509915458484973,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.5,-0.06307894547696358,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.51,-0.060852787581085824,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.52,-0.05849233902877732,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.53,-0.0560671086490441,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.54,-0.053642051760753984,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.55,-0.05127553938849924,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.56,-0.04901736201471265,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.57,-0.046906521078573064,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
0.58,-0.04496971423609938,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,true
