t_s,delta_p_pu,delta_q_pu,delta_p_network_pu,delta_q_network_pu,delta_p_with_load_pu,delta_q_with_load_pu,p_network_abs_pu,q_network_abs_pu,p_network_ref_pu,q_network_ref_pu,delta_p_load_pu,delta_q_load_pu,angle_source,angle_is_exact_bus_voltage,asset_type,source
0.0,-0.00016822103822677903,-0.013760110804837522,-0.00016822103822677903,-0.013760110804837522,-0.00016822103822677903,-0.013760110804837522,-2.3130760841759472,-0.6252798947472775,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.01,-0.00016822103822677903,-0.013760110804752479,-0.00016822103822677903,-0.013760110804752479,-0.00016822103822677903,-0.013760110804752479,-2.3130760841759472,-0.6252798947471925,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.02,-0.00016822103822455858,-0.013760110804837522,-0.00016822103822455858,-0.013760110804837522,-0.00016822103822455858,-0.013760110804837522,-2.313076084175945,-0.6252798947472775,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.03,-0.00016822103822455858,-0.013760110804837633,-0.00016822103822455858,-0.013760110804837633,-0.00016822103822455858,-0.013760110804837633,-2.313076084175945,-0.6252798947472776,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.04,-0.00016822103822144996,-0.013760110804809322,-0.00016822103822144996,-0.013760110804809322,-0.00016822103822144996,-0.013760110804809322,-2.313076084175942,-0.6252798947472493,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.05,-0.00016822103821878542,-0.013760110804837744,-0.00016822103821878542,-0.013760110804837744,-0.00016822103821878542,-0.013760110804837744,-2.3130760841759392,-0.6252798947472777,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.06,-0.00016822103822944356,-0.0137601108048091,-0.00016822103822944356,-0.0137601108048091,-0.00016822103822944356,-0.0137601108048091,-2.31307608417595,-0.6252798947472491,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.07,-0.0001682210382281113,-0.013760110804838077,-0.0001682210382281113,-0.013760110804838077,-0.0001682210382281113,-0.013760110804838077,-2.3130760841759486,-0.6252798947472781,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.08,-0.00016822103822722312,-0.013760110804837189,-0.00016822103822722312,-0.013760110804837189,-0.00016822103822722312,-0.013760110804837189,-2.3130760841759477,-0.6252798947472772,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.09,-0.00016822103822722312,-0.0137601108048373,-0.00016822103822722312,-0.0137601108048373,-0.00016822103822722312,-0.0137601108048373,-2.3130760841759477,-0.6252798947472773,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.1,-0.0001682210382281113,-0.013760110804837744,-0.0001682210382281113,-0.013760110804837744,-0.0001682210382281113,-0.013760110804837744,-2.3130760841759486,-0.6252798947472777,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.11,-0.0001682210382276672,-0.0137601108047809,-0.0001682210382276672,-0.0137601108047809,-0.0001682210382276672,-0.0137601108047809,-2.313076084175948,-0.6252798947472209,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.12,-0.00016822103822633494,-0.013760110804837522,-0.00016822103822633494,-0.013760110804837522,-0.00016822103822633494,-0.013760110804837522,-2.313076084175947,-0.6252798947472775,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.13,-0.0001682210382236704,-0.013760110804837744,-0.0001682210382236704,-0.013760110804837744,-0.0001682210382236704,-0.013760110804837744,-2.313076084175944,-0.6252798947472777,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.14,-0.00016822103822544676,-0.013760110804837966,-0.00016822103822544676,-0.013760110804837966,-0.00016822103822544676,-0.013760110804837966,-2.313076084175946,-0.625279894747278,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.15,-0.0001682210382192295,-0.013760110804809544,-0.0001682210382192295,-0.013760110804809544,-0.0001682210382192295,-0.013760110804809544,-2.3130760841759397,-0.6252798947472495,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.16,-0.00016822103821700907,-0.013760110804753145,-0.00016822103821700907,-0.013760110804753145,-0.00016822103821700907,-0.013760110804753145,-2.3130760841759375,-0.6252798947471931,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.17,-0.0001682210382325522,-0.013760110804865944,-0.0001682210382325522,-0.013760110804865944,-0.0001682210382325522,-0.013760110804865944,-2.313076084175953,-0.6252798947473059,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.18,-0.00016822103822056178,-0.013760110804809766,-0.00016822103822056178,-0.013760110804809766,-0.00016822103822056178,-0.013760110804809766,-2.313076084175941,-0.6252798947472498,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.19,-0.00016822103822189405,-0.013760110804809544,-0.00016822103822189405,-0.013760110804809544,-0.00016822103822189405,-0.013760110804809544,-2.3130760841759423,-0.6252798947472495,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.2,-0.00016822103822278223,-0.013760110804837522,-0.00016822103822278223,-0.013760110804837522,-0.00016822103822278223,-0.013760110804837522,-2.3130760841759432,-0.6252798947472775,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.21,1.808090064103351,0.5460677205235774,1.808090064103351,0.5460677205235774,1.808090064103351,0.5460677205235774,-0.5048177990343695,-0.06545206341886256,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.22,1.6249245488431376,0.2671000593910976,1.6249245488431376,0.2671000593910976,1.6249245488431376,0.2671000593910976,-0.6879833142945828,-0.3444197245513424,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.23,1.6784726133825636,0.2932887291965619,1.6784726133825636,0.2932887291965619,1.6784726133825636,0.2932887291965619,-0.6344352497551569,-0.3182310547458781,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.24,1.7177013063447362,0.28663429299407556,1.7177013063447362,0.28663429299407556,1.7177013063447362,0.28663429299407556,-0.5952065567929843,-0.32488549094836444,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.25,1.7186365931141077,0.2930496754288693,1.7186365931141077,0.2930496754288693,1.7186365931141077,0.2930496754288693,-0.5942712700236129,-0.3184701085135707,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.26,1.7174839381293758,0.29685899504218327,1.7174839381293758,0.29685899504218327,1.7174839381293758,0.29685899504218327,-0.5954239250083446,-0.3146607889002567,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.27,1.7232388104340852,0.29882616480151225,1.7232388104340852,0.29882616480151225,1.7232388104340852,0.29882616480151225,-0.5896690527036352,-0.31269361914092775,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.28,1.7267027717786647,0.29977185422345576,1.7267027717786647,0.29977185422345576,1.7267027717786647,0.29977185422345576,-0.5862050913590557,-0.31174792971898424,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.29,1.731276359535213,0.3022371204235977,1.731276359535213,0.3022371204235977,1.731276359535213,0.3022371204235977,-0.5816315036025076,-0.3092826635188423,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.3,1.7359998953843143,0.30413248280681054,1.7359998953843143,0.30413248280681054,1.7359998953843143,0.30413248280681054,-0.576907967753406,-0.30738730113562945,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.31,1.0638805836023988,0.10090747011167955,1.0638805836023988,0.10090747011167955,1.0638805836023988,0.10090747011167955,-1.2490272795353217,-0.5106123138307604,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.32,1.028657106720534,0.25917362181889203,1.028657106720534,0.25917362181889203,1.028657106720534,0.25917362181889203,-1.2842507564171866,-0.35234616212354797,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.33,1.094684945150069,0.22356965503929405,1.094684945150069,0.22356965503929405,1.094684945150069,0.22356965503929405,-1.2182229179876514,-0.38795012890314595,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.34,1.0706338896738057,0.21069928854413034,1.0706338896738057,0.21069928854413034,1.0706338896738057,0.21069928854413034,-1.2422739734639148,-0.40082049539830966,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.35,1.0604292127580497,0.21234162809239843,1.0604292127580497,0.21234162809239843,1.0604292127580497,0.21234162809239843,-1.2524786503796708,-0.39917815585004157,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
0.36,1.056377251038199,0.21587873118868584,1.056377251038199,0.21587873118868584,1.056377251038199,0.21587873118868584,-1.2565306120995214,-0.39564105275375416,-2.3129078631377205,-0.61151978394244,0.0,0.0,Vmag_get_voltage_magnitude_series__angle_get_voltage_angle_series,true,Unknown,Ybus EMT reconstruction using exact complex bus-voltage phasors when available; otherwise diagnostic fallback
