t_s,p_ref_eff_pu,delta_pref_eff_pu,p_ref_pu,omega_pll_pu,Kω
0.0,0.23305683568265873,1.0685896612017132e-12,0.23305683568159014,0.9999999999999695,35.0
0.01,0.23305683568265873,1.0685896612017132e-12,0.23305683568159014,0.9999999999999694,35.0
0.02,0.23305683568265873,1.0685896612017132e-12,0.23305683568159014,0.9999999999999694,35.0
0.03,0.23305683568265873,1.0685896612017132e-12,0.23305683568159014,0.9999999999999694,35.0
0.04,0.23305683568265873,1.0685896612017132e-12,0.23305683568159014,0.9999999999999696,35.0
0.05,0.23305683568265873,1.0685896612017132e-12,0.23305683568159014,0.9999999999999695,35.0
0.06,0.23305683568265873,1.0685896612017132e-12,0.23305683568159014,0.9999999999999695,35.0
0.07,0.23305683568265873,1.0685896612017132e-12,0.23305683568159014,0.9999999999999695,35.0
0.08,0.23305683568265873,1.0685896612017132e-12,0.23305683568159014,0.9999999999999695,35.0
0.09,0.23305683568265873,1.0685896612017132e-12,0.23305683568159014,0.9999999999999695,35.0
0.1,0.23305683568265873,1.0685896612017132e-12,0.23305683568159014,0.9999999999999695,35.0
0.11,0.23305683568265873,1.0685896612017132e-12,0.23305683568159014,0.9999999999999695,35.0
0.12,0.23305683568265873,1.0685896612017132e-12,0.23305683568159014,0.9999999999999695,35.0
0.13,0.23305683568265873,1.0685896612017132e-12,0.23305683568159014,0.9999999999999695,35.0
0.14,0.23305683568265873,1.0685896612017132e-12,0.23305683568159014,0.9999999999999695,35.0
0.15,0.23305683568265873,1.0685896612017132e-12,0.23305683568159014,0.9999999999999695,35.0
0.16,0.23305683568265873,1.0685896612017132e-12,0.23305683568159014,0.9999999999999695,35.0
0.17,0.23305683568265873,1.0685896612017132e-12,0.23305683568159014,0.9999999999999695,35.0
0.18,0.23305683568265873,1.0685896612017132e-12,0.23305683568159014,0.9999999999999695,35.0
0.19,0.23305683568265873,1.0685896612017132e-12,0.23305683568159014,0.9999999999999695,35.0
0.2,0.23305683568265873,1.0685896612017132e-12,0.23305683568159014,0.9999999999999695,35.0
0.21,0.23441325904330385,0.0013564233617136834,0.23305683568159014,0.9999612450468083,35.0
0.22,0.25132458028489135,0.018267744603301234,0.23305683568159014,0.9994780644399057,35.0
0.23,0.25998462925402466,0.02692779357243456,0.23305683568159014,0.999230634469359,35.0
0.24,0.26364113912057763,0.030584303438987506,0.23305683568159014,0.999126162758886,35.0
0.25,0.26385769136165216,0.030800855680062036,0.23305683568159014,0.9991199755519983,35.0
0.26,0.2626189439648144,0.02956210828322426,0.23305683568159014,0.999155368334765,35.0
0.27,0.26007021026886423,0.027013374587274118,0.23305683568159014,0.9992281892975063,35.0
0.28,0.2567613746683977,0.023704538986807543,0.23305683568159014,0.9993227274575197,35.0
0.29,0.25306821612520836,0.02001138044361825,0.23305683568159014,0.9994282462730395,35.0
0.3,0.24928023126187002,0.016223395580279874,0.23305683568159014,0.999536474411992,35.0
0.31,0.2662170524030255,0.033160216721435334,0.23305683568159014,0.9990525652365305,35.0
0.32,0.2504907050483946,0.01743386936680448,0.23305683568159014,0.9995018894466626,35.0
0.33,0.24135684736568389,0.008300011684093766,0.23305683568159014,0.9997628568090259,35.0
0.34,0.23705943002196697,0.004002594340376812,0.23305683568159014,0.9998856401617036,35.0
0.35,0.2361158962875144,0.0030590606059242654,0.23305683568159014,0.9999125982684022,35.0
0.36,0.2366231417508371,0.0035663060692469415,0.23305683568159014,0.9998981055408787,35.0
0.37,0.23870814231384369,0.005651306632253555,0.23305683568159014,0.9998385340962213,35.0
0.38,0.24206700394438596,0.009010168262795824,0.23305683568159014,0.9997425666210631,35.0
0.39,0.24641335079933624,0.013356515117746107,0.23305683568159014,0.99961838528235,35.0
0.4,0.251418836970196,0.01836200128860583,0.23305683568159014,0.9994753713917541,35.0
0.41,0.25679043274954416,0.023733597067954054,0.23305683568159014,0.9993218972266299,35.0
0.42,0.26224248391759125,0.029185648236001102,0.23305683568159014,0.9991661243361143,35.0
0.43,0.2675226731688469,0.03446583748725681,0.23305683568159014,0.9990152617860785,35.0
0.44,0.272416246507263,0.039359410825672854,0.23305683568159014,0.9988754454049807,35.0
0.45,0.27675264268764993,0.043695807006059774,0.23305683568159014,0.9987515483712553,35.0
0.46,0.28040620014277284,0.04734936446118269,0.23305683568159014,0.9986471610153947,35.0
0.47,0.2832967042377666,0.05023986855617646,0.23305683568159014,0.9985645751841092,35.0
0.48,0.28538681403773836,0.052329978356148214,0.23305683568159014,0.998504857761253,35.0
0.49,0.28667806999851014,0.053621234316919966,0.23305683568159014,0.9984679647338023,35.0
0.5,0.2872058008043978,0.054148965122807695,0.23305683568159014,0.9984528867107769,35.0
0.51,0.28703331053956993,0.053976474857979746,0.23305683568159014,0.9984578150040577,35.0
0.52,0.2862457742520798,0.053188938570489654,0.23305683568159014,0.9984803160408431,35.0
0.53,0.28494382384665107,0.05188698816506093,0.23305683568159014,0.9985175146238554,35.0
0.54,0.2832378854850317,0.050181049803441576,0.23305683568159014,0.9985662557199017,35.0
0.55,0.28124219861500566,0.0481853629334155,0.23305683568159014,0.9986232753447596,35.0
0.56,0.2790700183785799,0.04601318269698976,0.23305683568159014,0.9986853376372289,35.0
0.57,0.2768291793771299,0.04377234369553977,0.23305683568159014,0.9987493616086989,35.0
0.58,0.2746182354793483,0.04156139979775819,0.23305683568159014,0.9988125314343498,35.0
0.59,0.272523528339391,0.03946669265780086,0.23305683568159014,0.9988723802097771,35.0
0.6,0.27061699837540887,0.03756016269381874,0.23305683568159014,0.9989268524944622,35.0
0.61,0.26895486952960224,0.0358980338480121,0.23305683568159014,0.9989743418900567,35.0
