t_s,df_hz
0.0,-1.8318679906315083e-12
0.01,-1.8318679906315083e-12
0.02,-1.8318679906315083e-12
0.03,-1.8318679906315083e-12
0.04,-1.8318679906315083e-12
0.05,-1.8318679906315083e-12
0.06,-1.8318679906315083e-12
0.07,-1.8318679906315083e-12
0.08,-1.8318679906315083e-12
0.09,-1.8318679906315083e-12
0.1,-1.8318679906315083e-12
0.11,-1.8318679906315083e-12
0.12,-1.8318679906315083e-12
0.13,-1.8318679906315083e-12
0.14,-1.8318679906315083e-12
0.15,-1.8318679906315083e-12
0.16,-1.8318679906315083e-12
0.17,-1.8318679906315083e-12
0.18,-1.8318679906315083e-12
0.19,-1.8318679906315083e-12
0.2,-1.8318679906315083e-12
0.21,0.05202317140990274
0.22,0.08603949539001671
0.23,0.12218156468311672
0.24,0.15113326146182549
0.25,0.17394477716726442
0.26,0.18848139205427902
0.27,0.1962646318972873
0.28,0.19808660912355416
0.29,0.19507477764296782
0.3,0.18835951043813196
0.31,0.044022086169963004
0.32,-0.06302026878640857
0.33,-0.1503415753137171
0.34,-0.21542759941013087
0.35,-0.2646030866107658
0.36,-0.29787508213206143
0.37,-0.31792756883509565
0.38,-0.3262718889757609
0.39,-0.32456273559439197
0.4,-0.31431379097534723
0.41,-0.2971506158126165
0.42,-0.2746706133929214
0.43,-0.24843795051454212
0.44,-0.21993400350816758
0.45,-0.19051751700148742
0.46,-0.16139428292670557
0.47,-0.13358751858208096
0.48,-0.10792163883562457
0.49,-0.08501538785264393
0.5,-0.06528469251182716
0.51,-0.048954378292315234
0.52,-0.036077294259079754
0.53,-0.02655911427234087
0.54,-0.020185962877421398
0.55,-0.016654320168323838
0.56,-0.015599296823307325
0.57,-0.016621073651431024
0.58,-0.019308906904873524
0.59,-0.023260593661704455
0.6,-0.02809791644543632
0.61,-0.03347728519467083
0.62,-0.039098406506169116
0.63,-0.044707316008682524
0.64,-0.05009782082918897
0.65,-0.055110949549306
0.66,-0.059631271718793184
0.67,-0.06358339899838691
0.68,-0.06692697501438362
0.69,-0.06965143042184681
0.7,-0.07177056594737359
0.71,-0.07331728471445055
0.72,-0.07433874765799316
0.73,-0.07489174573369742
0.74,-0.07503883430104608
0.75,-0.07484484791190074
0.76,-0.074374104051365
0.77,-0.07368827373042189
0.78,-0.07284449863844665
0.79,-0.07189436714051724
0.8,-0.07088311392479231
0.81,-0.06984938047340662
0.82,-0.06882509119230883
0.83,-0.06783577146308409
0.84,-0.0669010386954409
0.85,-0.06603512836916715
0.86,-0.0652476089007571
0.87,-0.06454408460700624
0.88,-0.06392691054197282
0.89,-0.06339585748221017
0.9,-0.06294873574039102
0.91,-0.06258193610086168
0.92,-0.062290888453937966
0.93,-0.06207043873003595
0.94,-0.06191513147583041
0.95,-0.061819435913492975
0.96,-0.061777878235576435
0.97,-0.06178513818717659
0.98,-0.061836089404183454
0.99,-0.06192579680307022
1.0,-0.06204950789193021
1.01,-0.06220261714045914
1.02,-0.06238062809802345
1.03,-0.06257911854400222
1.04,-0.06279371301132033
1.05,-0.06302006177981431
1.06,-0.06325382796944036
1.07,-0.06349070091843302
1.08,-0.0637264063073915
1.09,-0.06395673994314134
1.1,-0.06417760852637527
1.11,-0.06438506443901049
1.12,-0.06457536159358211
1.13,-0.0647450036444374
1.14,-0.06489079390565451
1.15,-0.06500987933476965
1.16,-0.06509979174291461
1.17,-0.0651584822626667
1.18,-0.06518434399257507
1.19,-0.06517623001113779
1.2,-0.06513346041151676
1.21,-0.06505581975165997
1.22,-0.06494354594457967
1.23,-0.06479731210327137
1.24,-0.06461820083530456
