t_s,df_hz
0.0,-1.8318679906315083e-12
0.01,-1.8318679906315083e-12
0.02,-1.8318679906315083e-12
0.03,-1.8318679906315083e-12
0.04,-1.8318679906315083e-12
0.05,-1.8318679906315083e-12
0.06,-1.8318679906315083e-12
0.07,-1.8318679906315083e-12
0.08,-1.8318679906315083e-12
0.09,-1.8318679906315083e-12
0.1,-1.8318679906315083e-12
0.11,-1.8318679906315083e-12
0.12,-1.8318679906315083e-12
0.13,-1.8318679906315083e-12
0.14,-1.8318679906315083e-12
0.15,-1.8318679906315083e-12
0.16,-1.8318679906315083e-12
0.17,-1.8318679906315083e-12
0.18,-1.8318679906315083e-12
0.19,-1.8318679906315083e-12
0.2,-1.8318679906315083e-12
0.21,-0.0035144692593806507
0.22,-0.006230960353190558
0.23,-0.006210796874476275
0.24,-0.005382842090533805
0.25,-0.0038751407181026026
0.26,-0.002073531834069326
0.27,8.153819738129564e-5
0.28,0.0024631564842549094
0.29,0.0050126001239805575
0.3,0.007686083320281851
0.31,-0.0044170743881750745
0.32,-0.012060065635337656
0.33,-0.021147421094256505
0.34,-0.030457339275145552
0.35,-0.04004070759253438
0.36,-0.04922582255913198
0.37,-0.05819083163747644
0.38,-0.06685566249689283
0.39,-0.07519625682487976
0.4,-0.08317406219693216
0.41,-0.09076548762787326
0.42,-0.0979406587115269
0.43,-0.1046717973844053
0.44,-0.11093165917025163
0.45,-0.11669451664834742
0.46,-0.12193644591709951
0.47,-0.12663617586127726
0.48,-0.1307755840670805
0.49,-0.13434015229598004
0.5,-0.13731935220568012
0.51,-0.13970694849603835
0.52,-0.141501248736017
0.53,-0.142705284572897
0.54,-0.1433269617658494
0.55,-0.14337910855778865
0.56,-0.1428794956222805
0.57,-0.14185076399919902
0.58,-0.1403202132878086
0.59,-0.13831950115345906
0.6,-0.1358842209702725
0.61,-0.13305346649502853
0.62,-0.1298690745851363
0.63,-0.12637507226553063
0.64,-0.1226169623255071
0.65,-0.1186408406458075
0.66,-0.11449291714377903
0.67,-0.1102187028831925
0.68,-0.10586246327181603
0.69,-0.1014665848125948
0.7,-0.09707128534943642
0.71,-0.092714055589005
0.72,-0.0884295262153048
0.73,-0.08424912768091038
0.74,-0.08020102822470185
0.75,-0.07631001256901063
0.76,-0.0725974810270728
0.77,-0.06908151236706074
0.78,-0.06577688568044994
0.79,-0.06269524329723694
0.8,-0.05984521924967158
0.81,-0.057232625961395785
0.82,-0.0548606237240696
0.83,-0.052729938681436064
0.84,-0.050839068671796134
0.85,-0.0491844982341814
0.86,-0.04776091310504625
0.87,-0.04656141560006257
0.88,-0.04557771361327884
0.89,-0.04480034193191311
0.9,-0.044218831039547685
0.91,-0.04382189223011272
0.92,-0.04359757846879943
0.93,-0.043533442752782196
0.94,-0.04361666028463823
0.95,-0.04383418658034499
0.96,-0.04417284403166423
0.97,-0.04461945159635678
0.98,-0.045160920630921336
0.99,-0.045784318364547924
1.0,-0.046476970377107546
1.01,-0.04722652133664025
1.02,-0.048020996102548945
1.03,-0.048848860876806684
1.04,-0.049699078249385756
1.05,-0.050561147794736784
1.06,-0.051425133290733394
1.07,-0.05228171528292266
1.08,-0.05312220347514111
1.09,-0.05393857155542507
1.1,-0.054723480349834805
1.11,-0.05547027429119764
1.12,-0.05617300367967939
1.13,-0.05682642591972844
1.14,-0.05742600636764013
1.15,-0.05796791137719628
1.16,-0.058449000150922074
1.17,-0.058866812657160164
1.18,-0.05921954845873491
1.19,-0.05950604715635733
1.2,-0.05972576250302458
1.21,-0.05987873272933309
1.22,-0.05996554841239269
1.23,-0.05998731791229151
