t_s,delta_p_pu,delta_q_pu,delta_p_network_pu,delta_q_network_pu,p_network_abs_pu,q_network_abs_pu,delta_p_load_pu,delta_q_load_pu,asset_type
0.0,-2.89233914596565e-12,-5.200706532093591e-11,-2.89233914596565e-12,-5.200706532093591e-11,0.09999999999710786,-1.6276439080931064,0.0,0.0,GFM
0.01,-2.8938518248367018e-12,-5.200684327633098e-11,-2.8938518248367018e-12,-5.200684327633098e-11,0.09999999999710635,-1.6276439080931062,0.0,0.0,GFM
0.02,-2.8944902030758612e-12,-5.200373465186203e-11,-2.8944902030758612e-12,-5.200373465186203e-11,0.09999999999710571,-1.627643908093103,0.0,0.0,GFM
0.03,-2.89576695955418e-12,-5.200373465186203e-11,-2.89576695955418e-12,-5.200373465186203e-11,0.09999999999710443,-1.627643908093103,0.0,0.0,GFM
0.04,-2.896835549215382e-12,-5.200373465186203e-11,-2.896835549215382e-12,-5.200373465186203e-11,0.09999999999710336,-1.627643908093103,0.0,0.0,GFM
0.05,-2.898098427905893e-12,-5.200528896409651e-11,-2.898098427905893e-12,-5.200528896409651e-11,0.0999999999971021,-1.6276439080931047,0.0,0.0,GFM
0.06,-2.8989588507499775e-12,-5.200373465186203e-11,-2.8989588507499775e-12,-5.200373465186203e-11,0.09999999999710124,-1.627643908093103,0.0,0.0,GFM
0.07,-2.9006658186503387e-12,-5.200684327633098e-11,-2.9006658186503387e-12,-5.200684327633098e-11,0.09999999999709953,-1.6276439080931062,0.0,0.0,GFM
0.08,-2.9006658186503387e-12,-5.200684327633098e-11,-2.9006658186503387e-12,-5.200684327633098e-11,0.09999999999709953,-1.6276439080931062,0.0,0.0,GFM
0.09,-2.9002494850161042e-12,-5.200373465186203e-11,-2.9002494850161042e-12,-5.200373465186203e-11,0.09999999999709995,-1.627643908093103,0.0,0.0,GFM
0.1,-2.9002494850161042e-12,-5.200373465186203e-11,-2.9002494850161042e-12,-5.200373465186203e-11,0.09999999999709995,-1.627643908093103,0.0,0.0,GFM
0.11,-2.9002494850161042e-12,-5.200373465186203e-11,-2.9002494850161042e-12,-5.200373465186203e-11,0.09999999999709995,-1.627643908093103,0.0,0.0,GFM
0.12,-2.9002494850161042e-12,-5.200373465186203e-11,-2.9002494850161042e-12,-5.200373465186203e-11,0.09999999999709995,-1.627643908093103,0.0,0.0,GFM
0.13,-2.9002494850161042e-12,-5.200373465186203e-11,-2.9002494850161042e-12,-5.200373465186203e-11,0.09999999999709995,-1.627643908093103,0.0,0.0,GFM
0.14,-2.9002494850161042e-12,-5.200373465186203e-11,-2.9002494850161042e-12,-5.200373465186203e-11,0.09999999999709995,-1.627643908093103,0.0,0.0,GFM
0.15,-2.9002494850161042e-12,-5.200373465186203e-11,-2.9002494850161042e-12,-5.200373465186203e-11,0.09999999999709995,-1.627643908093103,0.0,0.0,GFM
0.16,-2.9006658186503387e-12,-5.200684327633098e-11,-2.9006658186503387e-12,-5.200684327633098e-11,0.09999999999709953,-1.6276439080931062,0.0,0.0,GFM
0.17,-2.9006658186503387e-12,-5.200684327633098e-11,-2.9006658186503387e-12,-5.200684327633098e-11,0.09999999999709953,-1.6276439080931062,0.0,0.0,GFM
0.18,-2.9002494850161042e-12,-5.200373465186203e-11,-2.9002494850161042e-12,-5.200373465186203e-11,0.09999999999709995,-1.627643908093103,0.0,0.0,GFM
0.19,-2.9002494850161042e-12,-5.200373465186203e-11,-2.9002494850161042e-12,-5.200373465186203e-11,0.09999999999709995,-1.627643908093103,0.0,0.0,GFM
0.2,-2.9002494850161042e-12,-5.200373465186203e-11,-2.9002494850161042e-12,-5.200373465186203e-11,0.09999999999709995,-1.627643908093103,0.0,0.0,GFM
0.21,-2.900873985467456e-12,-5.200861963317038e-11,-2.900873985467456e-12,-5.200861963317038e-11,0.09999999999709933,-1.627643908093108,0.0,0.0,GFM
0.22,-2.9006658186503387e-12,-5.200684327633098e-11,-2.9006658186503387e-12,-5.200684327633098e-11,0.09999999999709953,-1.6276439080931062,0.0,0.0,GFM
0.23,-2.9002494850161042e-12,-5.200373465186203e-11,-2.9002494850161042e-12,-5.200373465186203e-11,0.09999999999709995,-1.627643908093103,0.0,0.0,GFM
0.24,-2.9002494850161042e-12,-5.200373465186203e-11,-2.9002494850161042e-12,-5.200373465186203e-11,0.09999999999709995,-1.627643908093103,0.0,0.0,GFM
0.25,-2.9006658186503387e-12,-5.200684327633098e-11,-2.9006658186503387e-12,-5.200684327633098e-11,0.09999999999709953,-1.6276439080931062,0.0,0.0,GFM
0.26,-0.004128819415837107,0.04002385097260963,-0.004128819415837107,0.04002385097260963,0.0958711805841631,-1.5876200570684897,0.0,0.0,GFM
