t_s,delta_p_pu,delta_q_pu,delta_p_network_pu,delta_q_network_pu,p_network_abs_pu,q_network_abs_pu,delta_p_load_pu,delta_q_load_pu,asset_type
0.0,-3.39511752045496e-12,-1.1390888232654106e-13,-3.39511752045496e-12,-1.1390888232654106e-13,-0.20000000000339507,1.4934678055236392,0.0,0.0,GFL
0.01,-3.3931468745862503e-12,-1.1213252548714081e-13,-3.3931468745862503e-12,-1.1213252548714081e-13,-0.2000000000033931,1.493467805523641,0.0,0.0,GFL
0.02,-3.391231739868772e-12,-1.1390888232654106e-13,-3.391231739868772e-12,-1.1390888232654106e-13,-0.2000000000033912,1.4934678055236392,0.0,0.0,GFL
0.03,-3.3890390493951372e-12,-1.1390888232654106e-13,-3.3890390493951372e-12,-1.1390888232654106e-13,-0.200000000003389,1.4934678055236392,0.0,0.0,GFL
0.04,-3.3873182037069682e-12,-1.1390888232654106e-13,-3.3873182037069682e-12,-1.1390888232654106e-13,-0.20000000000338727,1.4934678055236392,0.0,0.0,GFL
0.05,-3.38540306898949e-12,-1.1746159600534156e-13,-3.38540306898949e-12,-1.1746159600534156e-13,-0.20000000000338536,1.4934678055236357,0.0,0.0,GFL
0.06,-3.3834046675451646e-12,-1.1390888232654106e-13,-3.3834046675451646e-12,-1.1390888232654106e-13,-0.20000000000338336,1.4934678055236392,0.0,0.0,GFL
0.07,-3.3809621768909892e-12,-1.1235457009206584e-13,-3.3809621768909892e-12,-1.1235457009206584e-13,-0.20000000000338092,1.4934678055236408,0.0,0.0,GFL
0.08,-3.3809621768909892e-12,-1.1235457009206584e-13,-3.3809621768909892e-12,-1.1235457009206584e-13,-0.20000000000338092,1.4934678055236408,0.0,0.0,GFL
0.09,-3.38121197707153e-12,-1.141309269314661e-13,-3.38121197707153e-12,-1.141309269314661e-13,-0.20000000000338117,1.493467805523639,0.0,0.0,GFL
0.1,-3.38121197707153e-12,-1.141309269314661e-13,-3.38121197707153e-12,-1.141309269314661e-13,-0.20000000000338117,1.493467805523639,0.0,0.0,GFL
0.11,-3.38121197707153e-12,-1.141309269314661e-13,-3.38121197707153e-12,-1.141309269314661e-13,-0.20000000000338117,1.493467805523639,0.0,0.0,GFL
0.12,-3.38121197707153e-12,-1.141309269314661e-13,-3.38121197707153e-12,-1.141309269314661e-13,-0.20000000000338117,1.493467805523639,0.0,0.0,GFL
0.13,-3.38121197707153e-12,-1.141309269314661e-13,-3.38121197707153e-12,-1.141309269314661e-13,-0.20000000000338117,1.493467805523639,0.0,0.0,GFL
0.14,-3.38121197707153e-12,-1.141309269314661e-13,-3.38121197707153e-12,-1.141309269314661e-13,-0.20000000000338117,1.493467805523639,0.0,0.0,GFL
0.15,-3.38121197707153e-12,-1.141309269314661e-13,-3.38121197707153e-12,-1.141309269314661e-13,-0.20000000000338117,1.493467805523639,0.0,0.0,GFL
0.16,-3.3809621768909892e-12,-1.1235457009206584e-13,-3.3809621768909892e-12,-1.1235457009206584e-13,-0.20000000000338092,1.4934678055236408,0.0,0.0,GFL
0.17,-3.3809621768909892e-12,-1.1235457009206584e-13,-3.3809621768909892e-12,-1.1235457009206584e-13,-0.20000000000338092,1.4934678055236408,0.0,0.0,GFL
0.18,-3.38121197707153e-12,-1.141309269314661e-13,-3.38121197707153e-12,-1.141309269314661e-13,-0.20000000000338117,1.493467805523639,0.0,0.0,GFL
0.19,-3.38121197707153e-12,-1.141309269314661e-13,-3.38121197707153e-12,-1.141309269314661e-13,-0.20000000000338117,1.493467805523639,0.0,0.0,GFL
0.2,-3.38121197707153e-12,-1.141309269314661e-13,-3.38121197707153e-12,-1.141309269314661e-13,-0.20000000000338117,1.493467805523639,0.0,0.0,GFL
0.21,-3.3812397326471455e-12,-1.1590728377086634e-13,-3.3812397326471455e-12,-1.1590728377086634e-13,-0.2000000000033812,1.4934678055236372,0.0,0.0,GFL
0.22,-3.3809621768909892e-12,-1.1235457009206584e-13,-3.3809621768909892e-12,-1.1235457009206584e-13,-0.20000000000338092,1.4934678055236408,0.0,0.0,GFL
0.23,-3.38121197707153e-12,-1.141309269314661e-13,-3.38121197707153e-12,-1.141309269314661e-13,-0.20000000000338117,1.493467805523639,0.0,0.0,GFL
0.24,-3.38121197707153e-12,-1.141309269314661e-13,-3.38121197707153e-12,-1.141309269314661e-13,-0.20000000000338117,1.493467805523639,0.0,0.0,GFL
0.25,0.24999999999661904,0.04999999999988765,-3.3809621768909892e-12,-1.1235457009206584e-13,-0.20000000000338092,1.4934678055236408,0.25,0.05,GFL
0.26,0.2467929454588084,-0.07983401911003067,-0.0032070545411916063,-0.12983401911003067,-0.20320705454119156,1.3636337864137225,0.25,0.05,GFL
0.27,0.23918394705296547,-0.07346886087769904,-0.010816052947034527,-0.12346886087769904,-0.21081605294703448,1.369998944646054,0.25,0.05,GFL
0.28,0.22965492919100744,-0.05273930407683873,-0.02034507080899256,-0.10273930407683873,-0.22034507080899252,1.3907285014469144,0.25,0.05,GFL
0.29,0.219454688222401,-0.04672969674521936,-0.030545311777599005,-0.09672969674521936,-0.23054531177759896,1.3967381087785338,0.25,0.05,GFL
0.3,0.20799061707737046,-0.046343984165447424,-0.04200938292262954,-0.09634398416544743,-0.2420093829226295,1.3971238213583057,0.25,0.05,GFL
0.31,0.19596569911717726,-0.040289660183208606,-0.05403430088282274,-0.09028966018320861,-0.2540343008828227,1.4031781453405445,0.25,0.05,GFL
0.32,0.1831069172222477,-0.0345073609413165,-0.0668930827777523,-0.0845073609413165,-0.26689308277775226,1.4089604445824366,0.25,0.05,GFL
0.33,0.1696673074597575,-0.030353370489222972,-0.0803326925402425,-0.08035337048922297,-0.28033269254024246,1.4131144350345302,0.25,0.05,GFL
0.34,0.15680906362244912,-0.026866856654791646,-0.09319093637755088,-0.07686685665479165,-0.29319093637755084,1.4166009488689615,0.25,0.05,GFL
0.35,0.14525022677312577,-0.024867479664939116,-0.10474977322687423,-0.07486747966493912,-0.3047497732268742,1.418600325858814,0.25,0.05,GFL
0.36,0.1350396440074585,-0.02366305301594744,-0.11496035599254151,-0.07366305301594744,-0.31496035599254146,1.4198047525078057,0.25,0.05,GFL
0.37,0.12589054383299192,-0.022135443112262274,-0.12410945616700808,-0.07213544311226228,-0.32410945616700804,1.4213323624114909,0.25,0.05,GFL
0.38,0.11739040975027815,-0.020234365969909615,-0.13260959024972185,-0.07023436596990962,-0.3326095902497218,1.4232334395538435,0.25,0.05,GFL
0.39,0.10925916314083411,-0.018222202302897547,-0.14074083685916589,-0.06822220230289755,-0.34074083685916584,1.4252456032208556,0.25,0.05,GFL
0.4,0.10143400807150704,-0.016315739103859125,-0.14856599192849296,-0.06631573910385913,-0.3485659919284929,1.427152066419894,0.25,0.05,GFL
0.41,0.09392704065827184,-0.014665937084383837,-0.15607295934172816,-0.06466593708438384,-0.3560729593417281,1.4288018684393693,0.25,0.05,GFL
0.42,0.086693520584807,-0.013210273200211328,-0.163306479415193,-0.06321027320021133,-0.36330647941519295,1.4302575323235418,0.25,0.05,GFL
0.43,0.07959964574950801,-0.011771142162153178,-0.170400354250492,-0.06177114216215318,-0.37040035425049195,1.4316966633616,0.25,0.05,GFL
0.44,0.07245913241693086,-0.010236054334114716,-0.17754086758306914,-0.06023605433411472,-0.3775408675830691,1.4332317511896384,0.25,0.05,GFL
0.45,0.06509639731106676,-0.008588736174443931,-0.18490360268893324,-0.058588736174443934,-0.3849036026889332,1.4348790693493092,0.25,0.05,GFL
0.46,0.057385195168712655,-0.006867400258728826,-0.19261480483128735,-0.05686740025872883,-0.3926148048312873,1.4366004052650243,0.25,0.05,GFL
0.47,0.04924356539437735,-0.00511363634304822,-0.20075643460562265,-0.05511363634304822,-0.4007564346056226,1.438354169180705,0.25,0.05,GFL
0.48,0.0406078254341411,-0.0033347797501741966,-0.2093921745658589,-0.0533347797501742,-0.40939217456585886,1.440133025773579,0.25,0.05,GFL
0.49,0.031412575240674756,-0.0015060224004792983,-0.21858742475932524,-0.0515060224004793,-0.4185874247593252,1.4419617831232738,0.25,0.05,GFL
0.5,0.02158754421216741,0.0004029641020255187,-0.2284124557878326,-0.049597035897974484,-0.42841245578783255,1.4438707696257786,0.25,0.05,GFL
0.51,0.011067161670858416,0.0024080701397068555,-0.23893283832914158,-0.04759192986029315,-0.43893283832914154,1.44587587566346,0.25,0.05,GFL
0.52,-0.0001983949681662045,0.004507580845419981,-0.2501983949681662,-0.04549241915458002,-0.45019839496816616,1.4479753863691731,0.25,0.05,GFL
0.53,-0.012238859007999758,0.006690698243335416,-0.26223885900799976,-0.04330930175666459,-0.4622388590079997,1.4501585037670885,0.25,0.05,GFL
0.54,-0.025066618072152325,0.008947937431925637,-0.2750666180721523,-0.041052062568074366,-0.4750666180721523,1.4524157429556788,0.25,0.05,GFL
0.55,-0.03868206933661783,0.01127553631970453,-0.28868206933661783,-0.03872446368029547,-0.4886820693366178,1.4547433418434577,0.25,0.05,GFL
0.56,-0.053077254120536765,0.013673207599881956,-0.30307725412053677,-0.036326792400118046,-0.5030772541205367,1.457141013123635,0.25,0.05,GFL
0.57,-0.06823633315132727,0.01613962627015471,-0.31823633315132727,-0.033860373729845294,-0.5182363331513272,1.4596074317939078,0.25,0.05,GFL
0.58,-0.08413419583879356,0.018669707600001043,-0.33413419583879356,-0.03133029239999896,-0.5341341958387935,1.4621375131237542,0.25,0.05,GFL
0.59,-0.10073531288248705,0.021254858611012797,-0.35073531288248705,-0.028745141388987205,-0.550735312882487,1.464722664134766,0.25,0.05,GFL
0.6,-0.11799400499298385,0.02388493913951724,-0.36799400499298385,-0.026115060860482764,-0.5679940049929838,1.4673527446632704,0.25,0.05,GFL
0.61,-0.13585593208434332,0.026549994827045967,-0.3858559320843433,-0.023450005172954036,-0.5858559320843433,1.470017800350799,0.25,0.05,GFL
0.62,-0.15425989760952907,0.02924074664585681,-0.4042598976095291,-0.020759253354143192,-0.604259897609529,1.47270855216961,0.25,0.05,GFL
